POS_0_9_CP,POS_10_19_CP,POS_20_29_CP,POS_30_39_CP,POS_40_49_CP,POS_50_59_CP,POS_60_69_CP,POS_70_79_CP,POS_80_89_CP,POS_90_CP,DTH_CUM_CP
35,66,71,87,115,138,142,104,36,10,10
176,213,368,376,231,218,148,51,13,10,9
140,150,299,269,154,133,99,60,34,19,16
46,151,109,115,124,115,99,60,18,5,6
87,190,292,258,222,189,133,101,78,31,29
163,183,297,303,261,235,141,65,74,36,24
69,109,120,163,116,122,111,53,40,20,17
93,125,128,159,103,86,56,17,0,0,4
40,75,88,107,101,149,88,43,26,6,9
78,184,126,148,173,199,193,112,55,20,7
92,171,201,257,215,179,153,121,65,51,17
118,151,127,152,138,107,91,53,17,0,6
56,98,103,111,95,103,97,69,38,21,12
299,230,261,313,232,243,131,89,26,11,7
320,272,222,388,354,234,90,52,23,7,3
171,233,512,459,353,270,191,84,34,8,20
146,190,401,371,252,157,136,70,22,0,4
230,259,332,394,248,157,122,56,10,0,5
55,115,202,177,149,101,85,42,38,21,9
162,167,148,197,177,172,102,64,28,17,12
38,48,166,165,80,37,37,8,0,0,1
98,145,319,242,214,246,165,86,47,12,16
18,31,55,49,57,83,91,40,8,0,2
92,108,160,156,131,130,113,92,90,45,22
157,233,267,249,217,186,123,67,45,33,12
73,144,238,338,271,286,180,78,33,11,16
59,92,167,134,91,102,65,54,29,0,5
105,157,227,258,212,186,174,107,48,17,20
86,137,171,225,188,201,130,67,21,0,10
179,248,128,197,262,266,200,113,65,35,10
92,140,213,255,180,136,120,48,15,0,8
129,190,243,271,226,193,166,88,44,9,16
103,210,166,167,223,250,213,110,34,0,7
390,459,570,590,446,348,341,241,114,34,15
56,99,98,86,103,132,94,51,30,0,2
184,229,341,362,291,289,147,88,29,10,9
50,73,46,74,82,97,79,55,12,0,3
118,216,259,311,281,380,299,172,104,20,18
86,160,138,183,160,210,129,77,27,12,8
153,217,305,371,266,200,152,71,35,6,11
82,118,175,183,137,155,120,105,42,33,20
106,139,123,131,127,117,81,32,11,0,5
136,227,313,365,304,248,199,122,82,56,33
186,329,220,265,326,422,293,101,43,6,10
140,224,253,270,237,217,166,92,30,9,8
91,148,122,141,173,210,141,80,13,0,6
116,177,236,269,227,194,152,83,30,9,14
154,157,158,160,178,148,95,54,12,0,2
149,234,215,291,302,320,267,114,43,5,10
192,236,182,260,238,300,207,119,34,6,14
197,304,437,448,353,344,189,86,34,0,9
158,199,205,229,193,200,176,78,34,0,8
111,163,127,147,191,286,231,99,33,7,7
138,229,478,359,269,242,149,87,41,7,15
371,433,253,316,461,393,267,209,68,9,8
105,135,166,213,201,192,151,90,21,0,6
34,55,78,78,104,126,76,51,18,0,6
31,57,72,68,54,92,114,82,51,23,9
187,205,186,236,233,188,191,116,36,6,9
116,156,315,276,207,126,100,53,25,8,9
167,233,284,324,262,281,238,190,77,35,20
160,191,313,276,200,157,124,85,26,0,7
111,192,116,177,205,202,201,127,61,25,16
133,185,398,322,215,234,162,89,37,7,9
55,52,90,117,102,64,45,17,10,0,1
88,229,432,304,260,306,201,115,79,25,25
113,247,175,175,264,310,253,91,32,7,3
92,148,183,189,135,122,83,45,23,6,6
110,210,182,238,275,332,203,145,85,42,17
38,67,47,58,80,60,79,50,10,0,7
156,196,256,238,220,200,136,65,32,6,9
244,344,356,327,343,295,200,124,48,8,6
173,241,271,271,304,321,243,186,114,44,25
108,141,212,258,239,252,152,63,23,9,17
139,181,207,235,192,178,112,83,57,12,28
50,60,85,70,52,33,36,17,8,0,7
145,196,258,254,244,185,88,27,8,0,7
20,52,60,51,64,81,97,41,13,0,5
141,187,278,327,195,149,89,28,11,0,4
105,194,234,307,231,261,216,132,65,31,25
205,220,319,375,215,130,105,34,9,0,8
39,96,99,119,112,104,102,38,16,5,7
93,123,283,299,175,135,74,35,12,0,15
201,182,249,353,226,159,87,37,5,0,3
135,161,179,192,185,232,153,65,32,11,13
51,95,124,185,166,202,162,77,24,0,12
209,377,420,387,402,220,133,73,33,9,16
37,70,115,80,82,114,100,51,9,0,8
117,146,206,240,204,200,149,97,77,19,21
163,224,369,316,258,258,253,152,86,26,27
78,98,92,129,88,70,51,31,32,12,4
12,48,45,52,57,67,69,47,24,5,7
61,45,68,105,59,43,47,25,10,5,4
96,127,101,180,178,93,68,58,44,52,4
33,71,56,74,94,111,96,50,32,10,11
0,676,142,5,0,0,0,0,0,0,0
101,142,146,201,203,217,152,74,31,0,5
19,27,262,108,60,33,29,11,0,0,2
135,215,246,305,272,292,163,105,45,10,7
78,106,227,205,162,145,128,41,21,7,6
182,305,412,406,365,376,218,172,74,27,32
171,258,345,309,241,236,168,130,94,39,18
73,132,158,146,170,230,160,90,45,0,13
126,146,206,224,190,226,203,118,32,0,5
127,142,121,136,154,125,94,56,21,0,0
31,48,47,67,44,39,34,7,7,0,4
362,384,396,561,531,619,351,148,35,6,15
45,114,93,105,115,162,153,109,61,34,20
191,272,399,487,389,341,257,175,114,39,34
135,173,185,198,164,159,108,60,24,6,6
163,130,221,270,198,188,182,146,171,49,31
93,125,165,173,158,150,81,45,13,7,6
207,249,326,407,280,224,149,95,61,21,19
54,160,153,216,199,279,191,108,46,10,16
96,157,174,228,171,133,90,30,10,0,3
39,71,98,110,94,103,61,37,14,6,6
53,78,120,79,63,50,32,9,0,0,3
193,268,314,280,254,218,154,73,22,5,2
57,100,117,124,136,135,112,65,27,9,8
147,218,236,278,243,208,200,154,118,55,34
177,264,205,272,278,265,219,119,46,23,19
104,175,154,177,145,191,145,87,47,19,8
100,170,158,200,206,221,164,75,26,6,7
49,64,59,83,95,140,250,143,82,17,19
88,93,159,151,116,117,65,38,19,0,7
115,142,197,277,183,195,142,103,58,33,24
115,189,335,253,217,185,162,90,42,7,9
200,269,268,365,286,262,189,104,85,42,24
24,41,41,41,67,60,64,48,13,5,0
50,90,69,111,97,100,85,49,27,20,4
77,122,138,115,116,128,66,56,29,21,8
124,206,270,317,275,178,135,82,59,38,25
176,270,419,343,305,296,235,149,43,0,20
56,90,341,167,112,82,67,32,13,7,7
114,130,96,135,121,117,127,58,35,21,18
26,126,580,43,20,15,19,10,7,0,0
65,126,131,137,134,217,153,70,28,6,8
53,61,58,85,91,97,77,89,57,35,9
196,304,275,471,311,236,182,114,56,10,7
28,369,1279,91,57,43,35,25,9,0,5
101,304,616,163,122,114,80,58,35,23,7
128,177,242,294,218,184,112,41,12,0,5
154,218,245,238,237,224,173,140,65,28,15
128,219,187,218,231,257,149,64,21,0,12
27,25,102,83,60,75,56,32,0,0,2
77,117,130,120,140,174,154,96,38,0,9
372,609,382,494,544,432,238,100,44,16,8
285,338,253,427,367,223,164,96,45,15,12
66,61,234,161,87,69,43,64,73,54,10
35,82,215,147,105,87,61,34,12,6,7
46,57,141,100,48,52,37,18,5,0,7
168,257,231,258,240,282,252,75,28,0,8
193,320,223,330,378,370,204,118,31,6,9
97,188,194,217,239,311,229,108,38,7,5
181,271,481,461,347,290,168,95,66,41,16
133,210,240,310,257,284,211,162,66,10,11
90,169,156,195,180,218,164,95,27,0,9
81,96,138,129,102,60,46,25,10,5,8
84,140,219,251,208,231,185,124,70,24,19
98,151,189,227,197,219,184,96,65,21,10
181,296,226,231,252,231,206,97,47,7,12
224,361,353,364,409,445,324,159,44,0,11
41,573,506,71,55,62,35,23,13,0,1
23,53,899,224,68,50,35,18,0,0,2
52,70,149,155,111,114,81,35,30,26,10
141,208,268,282,294,308,212,114,49,10,22
262,262,414,505,313,211,117,38,19,0,2
14,68,633,140,28,18,19,9,0,0,0
10,24,28,43,46,75,57,49,10,0,6
109,125,195,285,162,142,94,53,9,5,6
367,441,320,513,496,395,350,159,95,36,25
6,0,235,107,49,39,44,66,72,59,18
141,280,320,278,297,278,221,162,68,20,10
174,244,206,258,228,308,213,126,31,5,8
152,178,118,162,178,205,130,72,21,0,1
31,31,28,59,37,81,62,24,7,0,0
47,91,50,47,67,77,46,56,52,17,9
130,216,108,168,222,190,138,67,59,8,7
95,115,199,168,128,132,111,71,56,26,15
124,143,212,197,173,131,97,43,14,0,4
65,52,131,171,87,76,58,24,9,0,5
33,45,104,118,73,51,30,19,0,0,1
133,221,220,307,218,247,189,83,36,0,10
67,124,80,116,125,159,182,121,77,15,21
89,149,169,183,157,187,180,103,39,0,15
66,145,156,147,137,167,124,68,49,17,17
43,80,117,119,131,153,110,97,53,14,12
192,212,304,348,278,252,249,167,134,39,39
0,514,1172,12,9,16,8,0,0,0,1
125,184,177,191,155,222,172,104,36,10,4
221,316,412,444,386,350,285,150,125,67,49
73,92,96,108,96,51,40,14,0,0,5
81,135,147,224,143,142,97,93,31,5,7
127,228,169,209,247,283,183,108,48,12,13
94,111,181,199,109,111,45,27,5,0,8
117,134,174,220,191,127,103,56,31,9,4
90,137,191,242,189,138,186,140,72,34,29
172,316,197,249,286,383,320,165,67,32,17
94,123,199,166,148,125,112,40,16,0,8
89,113,151,157,122,112,79,24,5,0,8
167,234,236,299,279,274,176,97,39,12,9
386,430,595,711,540,367,219,123,87,52,15
178,276,238,298,292,282,235,80,25,8,6
100,129,118,131,104,102,110,74,47,10,10
159,236,137,199,244,236,152,90,25,7,9
101,168,180,209,222,233,208,101,34,0,10
21,41,42,48,60,86,81,52,13,9,4
240,319,208,226,313,285,236,162,120,70,24
103,114,234,246,142,122,77,71,102,92,33
192,255,403,375,265,223,172,105,43,19,19
63,74,139,131,89,87,72,27,16,0,7
231,342,247,389,396,377,236,135,75,15,21
35,61,50,72,81,112,120,89,18,0,8
187,323,256,283,369,341,243,118,53,14,12
124,188,193,231,227,199,198,161,79,27,11
95,114,256,145,103,77,41,11,0,0,2
159,220,298,368,257,187,181,105,105,80,25
100,124,150,202,150,139,94,55,46,18,9
111,145,107,151,130,127,129,72,49,14,8
84,77,212,154,107,113,123,94,71,43,32
85,104,136,145,118,87,75,37,29,16,12
58,85,115,111,126,99,84,40,10,0,11
31,31,87,108,84,53,45,38,7,0,0
70,115,128,132,97,100,61,30,11,0,8
37,73,66,79,75,98,85,75,43,11,7
112,190,172,169,88,136,105,48,26,0,5
77,207,241,184,221,255,206,115,55,31,13
84,137,319,202,153,130,114,43,13,7,8
99,206,165,253,223,205,106,67,30,6,14
76,137,181,180,188,181,153,118,45,17,19
64,94,160,164,109,131,96,42,10,0,4
72,110,110,154,140,132,114,43,17,0,2
269,234,441,474,295,223,152,84,38,11,8
25,55,37,63,63,94,61,41,18,0,3
52,85,155,72,83,87,70,38,26,7,8
99,164,77,119,148,137,106,119,61,9,11
180,256,209,294,257,326,240,143,42,9,11
87,120,95,165,154,164,155,87,17,7,2
87,126,130,189,147,108,95,41,7,0,7
72,116,129,143,135,169,153,96,55,28,24
113,161,143,165,208,229,189,121,47,13,11
114,146,146,178,150,171,161,95,48,7,10
227,319,326,327,328,323,253,139,47,8,9
96,169,176,193,187,159,140,79,55,18,15
160,226,210,312,258,259,193,115,40,9,5
61,92,100,111,104,125,107,55,23,0,2
192,309,314,345,336,336,204,121,50,6,14
63,59,185,201,99,103,77,33,5,0,3
94,218,190,230,182,189,121,90,74,34,14
216,275,306,420,300,243,169,127,71,27,13
30,121,49,98,158,159,92,36,15,0,5
82,153,148,169,181,182,177,132,35,8,7
92,173,178,208,193,222,142,74,30,8,14
145,222,195,268,236,269,172,103,56,13,15
226,303,315,429,356,279,176,96,48,0,12
99,132,203,192,149,188,162,81,43,10,8
149,257,344,347,323,302,172,117,34,12,7
149,318,309,353,357,316,209,93,46,11,21
170,263,640,398,342,448,286,169,112,68,68
67,126,133,165,197,198,135,64,28,10,11
150,236,193,205,271,405,314,139,35,12,13
106,190,204,209,200,236,214,163,59,22,16
82,132,120,139,133,98,76,42,14,5,7
86,78,144,147,104,74,42,16,5,0,3
74,215,447,218,174,146,103,76,64,51,36
109,143,177,212,140,124,69,19,5,0,5
148,185,359,347,232,226,174,98,42,19,12
68,61,98,73,80,44,22,29,8,0,0
186,265,277,306,297,370,285,125,114,37,30
114,112,566,437,216,168,131,59,8,0,3
160,289,227,347,325,337,246,114,42,11,13
173,230,209,229,261,201,183,96,45,15,8
126,138,199,277,206,141,119,77,58,69,21
111,189,191,181,133,108,44,21,6,0,6
50,77,102,104,113,107,129,76,38,0,6
344,389,215,353,370,334,217,98,75,30,15
69,78,105,156,90,83,53,26,11,0,1
51,71,104,114,110,132,123,53,27,0,9
63,299,1488,147,63,66,56,32,17,0,6
142,222,295,299,299,250,196,108,50,13,8
96,154,202,240,216,291,238,105,55,6,13
24,44,35,74,75,111,96,45,34,7,8
106,142,431,222,99,78,67,59,94,62,13
92,169,114,161,185,227,188,105,44,5,17
53,125,406,112,71,83,54,32,8,0,1
107,156,264,258,213,196,138,81,34,9,10
63,101,103,127,113,160,142,69,29,7,10
53,108,99,113,123,153,119,50,38,0,2
81,90,78,105,105,54,57,27,17,6,0
116,207,301,315,279,272,183,120,62,23,17
144,262,265,289,269,237,183,131,87,44,23
170,164,189,209,162,139,71,48,45,25,10
105,209,172,217,245,225,147,94,35,7,6
73,184,207,202,192,214,128,63,30,8,16
86,146,231,198,173,147,89,33,8,8,8
224,320,690,426,331,276,210,115,51,12,19
26,81,78,102,79,83,84,58,36,25,5
95,130,203,193,180,182,105,52,19,0,15
46,57,430,237,75,65,46,18,0,0,1
120,162,302,321,207,213,141,50,21,5,9
97,191,276,265,212,201,180,73,43,50,21
96,118,117,144,151,172,112,85,31,0,6
144,230,273,293,301,251,226,183,77,16,23
183,332,425,444,348,303,244,108,39,19,15
91,110,102,164,138,119,132,76,25,0,6
113,198,191,224,195,188,141,77,18,7,12
184,241,256,305,299,235,165,111,85,30,17
143,207,234,250,211,302,196,98,32,7,5
91,151,350,398,278,274,196,97,48,7,17
57,71,103,118,66,79,53,31,24,10,5
82,95,182,225,146,155,120,42,29,0,6
186,258,338,350,286,294,176,71,40,5,13
84,152,172,210,198,233,175,111,51,29,25
16,23,702,194,82,64,72,55,19,0,5
112,241,288,303,285,273,245,157,96,39,24
123,238,306,293,244,225,186,105,54,24,26
37,37,82,73,63,34,35,8,0,0,2
139,178,236,385,278,191,115,40,12,0,3
75,129,144,148,150,125,94,87,61,44,13
111,156,249,241,168,171,153,27,10,0,5
291,375,391,402,439,506,321,193,118,44,32
151,297,289,274,299,267,199,126,100,44,37
112,205,260,287,216,207,197,102,69,13,23
533,515,427,632,623,451,269,119,55,12,15
36,68,87,98,75,63,34,22,5,0,4
12,45,15,36,24,61,80,55,20,0,13
91,127,145,180,170,179,135,63,19,0,8
41,58,90,96,70,76,79,75,43,17,10
44,82,86,128,104,132,148,79,32,7,13
112,197,179,199,198,213,177,167,80,40,21
113,153,154,216,178,154,129,97,57,27,15
203,257,234,340,247,231,199,106,40,0,9
108,160,277,268,179,180,151,81,36,13,19
87,140,203,261,184,139,124,64,19,0,8
95,157,134,156,183,204,172,88,31,0,15
79,86,107,128,91,119,102,58,12,5,1
75,89,137,200,124,97,81,25,0,0,1
43,72,70,85,91,115,120,68,27,0,9
53,147,94,163,167,219,135,77,45,0,6
97,124,205,203,184,192,122,63,17,0,12
83,152,114,163,152,184,144,96,88,47,27
136,307,175,211,318,344,226,97,19,0,5
112,196,245,324,255,350,250,133,65,23,18
122,192,145,193,226,255,178,98,22,5,1
135,184,224,236,250,356,249,153,55,7,7
219,325,348,285,250,213,109,48,11,0,16
172,227,195,277,284,270,227,167,81,37,25
152,167,279,266,237,212,158,108,56,33,10
55,135,130,148,172,196,129,51,25,0,9
118,155,178,165,140,160,135,72,43,11,2
161,258,374,378,266,243,129,57,10,0,12
89,111,125,162,107,144,133,74,41,9,9
96,104,209,200,136,139,84,40,19,0,4
55,79,80,121,89,83,30,16,6,0,3
199,302,178,279,321,366,258,128,33,9,11
96,144,190,194,139,85,77,21,9,0,1
167,161,212,284,196,121,75,46,11,0,3
120,130,207,217,196,233,171,97,90,33,22
70,79,156,137,105,80,37,21,13,0,2
97,107,198,237,154,174,74,37,8,0,9
141,252,191,241,250,324,243,100,29,14,12
77,197,139,176,183,205,132,56,25,0,5
84,137,178,218,148,108,69,34,20,8,11
55,71,53,81,60,75,42,31,6,0,4
84,117,126,156,130,184,125,77,24,15,10
117,163,313,319,236,181,129,47,13,0,6
201,248,269,299,297,336,202,78,19,5,6
111,210,140,199,245,304,156,63,19,0,4
176,274,353,322,259,218,137,57,16,0,12
143,248,1099,1383,922,630,367,96,54,12,31
154,194,385,344,211,215,172,71,19,0,11
100,202,170,191,188,228,136,63,23,0,6
79,134,128,164,117,126,50,32,9,0,8
84,165,342,571,453,411,265,141,45,27,12
65,85,134,160,113,112,123,55,26,7,7
64,92,134,144,97,96,74,31,13,0,3
119,165,120,174,203,186,132,89,21,7,10
96,135,310,253,185,170,117,91,86,67,35
106,245,223,254,235,211,128,87,47,7,35
192,224,358,332,246,206,124,56,23,5,10
103,154,328,277,171,150,88,41,15,0,0
58,103,121,127,100,128,117,39,12,5,4
67,93,123,111,93,85,55,23,6,0,4
286,306,423,421,351,317,217,135,58,15,12
99,133,140,162,160,143,135,69,28,6,4
43,63,87,105,83,107,123,62,63,30,16
148,189,217,263,195,182,153,81,28,20,14
29,46,45,42,70,75,87,58,24,0,6
67,110,171,183,162,93,95,41,24,9,12
131,125,153,208,152,162,135,51,17,8,3
126,144,160,175,160,187,165,77,14,0,3
304,362,422,484,423,476,232,110,37,8,2
62,76,154,177,142,135,99,94,82,105,34
76,99,167,129,106,125,72,46,28,9,11
102,91,62,108,79,70,50,25,13,0,5
193,277,168,245,316,315,207,106,86,41,16
131,167,387,346,188,152,132,59,32,20,9
103,194,212,200,195,257,124,57,41,7,6
146,199,305,313,246,187,164,49,16,0,13
106,182,200,256,217,249,169,121,34,10,12
276,317,254,277,341,177,96,54,45,25,12
72,149,135,194,145,180,121,75,19,9,3
16,27,69,52,41,52,58,26,9,0,1
161,237,248,287,277,228,174,67,6,5,17
79,110,114,130,114,124,141,62,34,9,6
63,85,92,123,135,133,95,62,22,5,8
131,190,176,219,236,244,177,120,43,12,9
103,115,88,140,125,139,145,59,22,0,7
41,60,45,66,59,93,67,47,21,0,3
136,149,222,237,192,164,124,35,9,0,8
70,133,141,163,162,174,137,49,18,0,3
25,64,47,88,90,124,110,86,38,7,12
252,365,332,462,408,387,235,152,54,11,7
101,149,211,181,164,118,59,23,6,0,8
60,49,268,245,114,89,62,13,5,0,0
176,269,386,398,210,156,146,138,100,57,18
81,103,158,185,117,134,116,79,76,59,30
118,154,322,266,231,223,226,149,125,39,22
152,177,244,234,193,199,138,42,18,0,5
123,144,223,273,191,153,83,24,14,0,4
92,200,249,225,204,356,245,172,104,57,25
317,530,506,602,666,550,341,149,37,6,13
110,249,181,150,208,323,218,112,64,32,16
111,161,114,149,155,223,151,72,12,0,7
53,104,146,171,158,188,144,71,54,29,34
93,125,185,221,145,121,77,49,10,6,0
94,164,157,181,191,213,136,78,23,0,4
146,260,306,244,212,159,90,38,15,0,7
57,101,128,152,170,231,186,89,29,5,8
68,107,144,137,115,82,50,19,7,0,3
113,132,219,223,155,172,196,122,147,83,57
76,145,177,186,187,180,111,66,20,5,11
39,31,68,63,42,47,31,10,0,0,1
70,105,96,142,132,199,172,144,71,13,17
87,105,279,211,185,145,211,105,72,74,18
115,213,172,226,262,271,174,117,37,11,12
91,146,120,153,139,166,140,83,20,0,5
103,102,106,138,113,78,61,38,12,0,3
39,86,87,95,104,151,123,75,26,0,9
142,252,243,350,297,328,284,168,80,19,19
177,206,164,212,204,211,138,54,17,0,2
211,241,341,335,223,147,93,61,23,6,11
333,343,440,507,329,302,205,121,74,48,22
126,215,1013,392,211,202,121,66,18,0,15
106,197,228,242,243,172,139,107,74,35,12
127,128,123,117,118,147,143,75,30,0,8
142,231,505,524,364,293,211,120,76,39,25
65,137,109,148,146,165,133,81,33,6,6
166,276,358,350,365,377,315,124,49,16,22
148,244,236,284,268,300,282,145,75,17,16
99,177,213,227,200,104,54,26,0,0,3
77,109,168,180,151,146,103,91,93,72,26
132,229,225,269,201,197,159,103,62,27,20
67,146,150,150,160,204,131,79,32,0,16
205,274,254,337,314,386,294,168,69,14,15
86,119,99,129,94,69,35,16,5,0,4
153,176,324,315,202,221,142,72,36,19,9
155,224,547,358,247,225,163,99,56,20,16
50,162,896,124,81,72,50,26,0,0,1
219,328,372,422,409,295,254,123,65,23,27
105,177,140,180,166,161,113,79,19,5,5
85,185,206,184,199,336,225,84,29,0,10
121,205,278,272,212,160,102,40,16,0,9
205,233,289,365,261,201,146,67,11,0,6
158,303,254,345,319,419,350,155,54,9,15
161,250,239,295,308,352,233,127,100,59,22
101,154,252,187,158,216,128,87,35,5,11
44,72,146,123,95,87,50,13,5,0,4
173,208,286,239,248,145,73,22,12,0,6
104,149,175,221,185,180,131,77,29,5,12
155,119,296,358,248,160,98,49,6,0,1
234,367,301,356,416,451,293,133,46,8,5
110,147,178,186,111,104,59,23,6,0,6
48,60,51,65,63,111,93,63,19,5,4
30,72,66,77,90,100,94,42,16,0,4
57,86,159,183,125,110,85,29,11,7,11
115,182,232,231,234,243,175,84,48,10,12
62,65,159,227,130,118,75,38,5,5,0
181,258,310,284,255,231,241,177,183,93,31
97,155,148,179,168,189,168,101,54,14,20
134,179,243,312,175,127,79,52,20,10,11
75,86,202,161,116,93,75,47,36,25,10
200,174,213,320,259,128,61,32,12,0,2
19,36,626,325,173,187,107,32,15,0,1
81,87,177,165,77,72,50,27,8,0,2
73,90,96,120,83,99,81,32,13,0,15
119,169,157,217,172,175,158,98,48,6,13
131,145,216,193,162,150,83,37,11,0,9
95,169,168,208,206,295,243,199,88,42,13
125,195,227,225,192,208,152,114,51,9,9
102,116,140,157,135,157,140,71,22,0,9
24,73,352,470,316,260,141,56,11,0,7
100,175,226,244,231,226,187,114,48,15,14
347,474,302,465,493,388,197,132,45,22,9
187,303,238,337,286,300,202,99,41,7,9
50,94,77,77,104,136,87,59,34,7,8
108,170,213,257,206,146,108,54,31,5,9
52,68,69,106,68,54,45,20,10,6,9
149,285,337,326,293,236,153,64,29,7,25
85,116,121,136,145,124,122,89,41,23,11
74,155,191,201,186,186,132,115,67,30,19
95,122,227,195,175,102,90,43,6,5,6
94,151,251,205,171,138,79,52,21,0,12
133,138,189,177,136,127,118,84,39,19,2
174,201,237,268,166,116,96,44,13,0,10
430,491,342,605,604,509,259,134,49,16,10
140,187,184,224,195,155,155,107,89,38,13
119,207,238,280,291,337,218,127,54,20,18
126,149,232,314,208,216,186,89,39,12,12
97,195,206,239,222,162,180,117,53,14,21
235,332,287,389,376,401,299,190,46,15,18
128,192,179,213,244,274,227,139,59,10,9
220,382,579,468,478,558,374,188,95,49,55
113,171,470,360,241,180,175,90,102,42,48
54,91,137,133,114,102,74,42,23,8,3
161,221,260,229,201,146,88,47,15,0,11
86,201,206,202,240,317,225,138,48,0,7
80,102,125,124,104,71,70,36,6,0,6
268,358,277,415,355,332,215,107,47,7,5
81,116,90,145,118,113,70,36,9,0,2
118,156,197,215,114,114,83,19,0,0,5
